keyword,location,device,position,previous_position,delta,ranking_url,search_volume,serp_features,status
iconater,United States,mobile,88.5,,,https://iconimate.app/,unavailable (DataForSEO 403),unavailable (DataForSEO 403),new
ikonate,United States,desktop,52,,,https://iconimate.app/,unavailable (DataForSEO 403),unavailable (DataForSEO 403),new
